BuildPort,K,D,HHI,SD,SR
2008-06-09,-5,-5,0.017429347131101225,0.1895373095667806,-0.04092361545256412
2008-06-09,-3,-5,0.017429347131101225,0.1895373095667806,-0.04092361545256412
2008-06-09,-1,-5,0.08267844186811996,0.17655621470580848,-0.04159277491755879
2008-06-09,0,-5,0.03846997786516128,0.1577842966018456,-0.04043122453305896
2008-06-09,1,-5,0.05361975622691297,0.13632714071264984,-0.041766664763155166
2008-06-09,3,-5,0.05403862097200902,0.14378833407491565,-0.044457932539162026
2008-06-09,5,-5,0.07944477670184724,0.15712934287760852,-0.039594986932352146
2008-06-09,-5,0,0.018046783035654722,0.1970320744658119,-0.03800650436697266
2008-06-09,-3,0,0.018046783035654722,0.1970320744658119,-0.03800650436697266
2008-06-09,-1,0,0.0787963800425713,0.14714565791982478,-0.04415015487341045
2008-06-09,0,0,0.050453865700831484,0.14233389136133376,-0.042630436228791445
2008-06-09,1,0,0.03898657194726668,0.14557299395729031,-0.04301251664293457
2008-06-09,3,0,0.07026036108422022,0.1219068105717528,-0.04919813350972883
2008-06-09,5,0,0.046170312151046985,0.12816069833521576,-0.04449260656450374
2008-06-09,-5,5,0.021451061234539485,0.1833461254619471,-0.042373347152587094
2008-06-09,-3,5,0.021451061234539485,0.1833461254619471,-0.042373347152587094
2008-06-09,-1,5,0.05306038082366873,0.1466883300187624,-0.04666814567358353
2008-06-09,0,5,0.03939477664692002,0.14554204024211598,-0.04212935776109689
2008-06-09,1,5,0.049840216618748136,0.14511225289847782,-0.04747659912586106
2008-06-09,3,5,0.04949112362445498,0.134198223529994,-0.048295606662596725
2008-06-09,5,5,0.04326809758647745,0.1370753327343894,-0.04632987132565739
2008-06-09,-5,10,0.023476432982365174,0.16599681169235486,-0.04361837387564256
2008-06-09,-3,10,0.023476432982365174,0.16599681169235486,-0.04361837387564256
2008-06-09,-1,10,0.042425420770300426,0.1622893327974369,-0.04479736527757432
2008-06-09,0,10,0.03414508014141716,0.15853170961935661,-0.04575046227553776
2008-06-09,1,10,0.0385964953449554,0.14197909208897241,-0.044870619442181285
2008-06-09,3,10,0.05059855251457958,0.13387924964879347,-0.04929524736309239
2008-06-09,5,10,0.04900451798547127,0.14410001416658594,-0.04773574967107908
2008-06-09,-5,15,0.028345695721595104,0.16652907936849806,-0.04199712545766622
2008-06-09,-3,15,0.028345695721595104,0.16652907936849806,-0.04199712545766622
2008-06-09,-1,15,0.032446913926529826,0.1482028481153694,-0.049691996650441946
2008-06-09,0,15,0.03912750125250861,0.14792883120550795,-0.042215802826898
2008-06-09,1,15,0.030782140266883255,0.1554526363175387,-0.04356828716439741
2008-06-09,3,15,0.04027231878971203,0.13949520249543423,-0.04655632780971572
2008-06-09,5,15,0.0489581194828767,0.1454012685177402,-0.04178981534506537
2008-07-08,0,0,0.04531293252453339,0.1676096957581059,-0.0023620529770805817
2008-07-08,-5,-15,0.031817868669178476,0.19518488826623695,0.00567372983095066
2008-07-08,-3,-15,0.07200020126130706,0.15519384686389665,0.001458916029508732
2008-07-08,-1,-15,0.1289965678235858,0.177787385867281,-0.0008979009503468524
2008-07-08,0,-15,0.14976181559474,0.16078161310340974,0.006235762912489779
2008-07-08,1,-15,0.3793861822836664,0.13149415136483864,-0.003392832930197398
2008-07-08,3,-15,0.32924857244733907,0.13893893098887272,0.002330679161944752
2008-07-08,5,-15,0.47471305854832074,0.17994428698122733,0.01003458835056148
2008-07-08,-5,-10,0.031817868669178476,0.19518488826623695,0.00567372983095066
2008-07-08,-3,-10,0.07200020126130706,0.15519384686389665,0.001458916029508732
2008-07-08,-1,-10,0.1289965678235858,0.177787385867281,-0.0008979009503468524
2008-07-08,0,-10,0.14976181559474,0.16078161310340974,0.006235762912489779
2008-07-08,1,-10,0.3793861822836664,0.13149415136483864,-0.003392832930197398
2008-07-08,3,-10,0.32924857244733907,0.13893893098887272,0.002330679161944752
2008-07-08,5,-10,0.47471305854832074,0.17994428698122733,0.01003458835056148
2008-07-08,-5,-5,0.06020191840210686,0.1693795881818798,-0.0053876387740193574
2008-07-08,-3,-5,0.03245493957612156,0.1923495313794701,0.0027013590416050245
2008-07-08,-1,-5,0.04355028096164852,0.16303678380798228,0.0037359942054210555
2008-07-08,0,-5,0.03734386551734311,0.17409422736821184,0.0011287952659474621
2008-07-08,1,-5,0.04598815918197399,0.19531401313595861,0.0003722193654595228
2008-07-08,3,-5,0.0715980205995053,0.13948321831937419,-0.0017344910711588626
2008-07-08,5,-5,0.06260328300918101,0.15257149255251043,-0.0002773299899142795
2008-07-08,-5,0,0.0563519056595858,0.15540760924285094,-0.0008185325857342017
2008-07-08,-3,0,0.0410058334827801,0.16956722659554058,-0.002162261493967347
2008-07-08,-1,0,0.04632439347436779,0.15608846634787024,-0.0012704213015913228
2008-07-08,0,0,0.04531293252453339,0.1676096957581059,-0.0023620529770805817
2008-07-08,1,0,0.04031363991335477,0.16649334331852828,-0.0005566876923625267
2008-07-08,3,0,0.03771865856393963,0.17946643623435343,-0.002971793311296486
2008-07-08,5,0,0.030410649988407295,0.18450342584349846,-0.0009264647990344953
2008-07-08,-5,5,0.038016441117315045,0.20184153334794083,-0.00562640174165326
