BuildPort,K,D,HHI,SD,SR
2008-01-03,0,0,0.06793640114826498,0.3184866242011459,-0.013999930258529827
2008-01-03,-5,-15,0.03596934834929475,0.3719006673433809,-0.013730335175846339
2008-01-03,-3,-15,0.4847997468152289,0.28242014551646394,-0.012861160371128584
2008-01-03,-1,-15,0.20462263928536356,0.38670126574944574,-0.012796336698339954
2008-01-03,0,-15,0.06793640114826498,0.3184866242011459,-0.013999930258529827
2008-01-03,1,-15,0.14853577215323796,0.2999859443813847,-0.015299024556805945
2008-01-03,3,-15,0.2999762201651338,0.31837080059021955,-0.016562025926692925
2008-01-03,5,-15,0.1836187626705768,0.29805179719836844,-0.015553830641934361
2008-01-03,-5,-10,0.03596934834929475,0.3719006673433809,-0.013730335175846339
2008-01-03,-3,-10,0.4847997468152289,0.28242014551646394,-0.012861160371128584
2008-01-03,-1,-10,0.20462263928536356,0.38670126574944574,-0.012796336698339954
2008-01-03,0,-10,0.06793640114826498,0.3184866242011459,-0.013999930258529827
2008-01-03,1,-10,0.14853577215323796,0.2999859443813847,-0.015299024556805945
2008-01-03,3,-10,0.2999762201651338,0.31837080059021955,-0.016562025926692925
2008-01-03,5,-10,0.1836187626705768,0.29805179719836844,-0.015553830641934361
2008-01-03,-5,-5,0.03596934834929475,0.3719006673433809,-0.013730335175846339
2008-01-03,-3,-5,0.4847997468152289,0.28242014551646394,-0.012861160371128584
2008-01-03,-1,-5,0.20462263928536356,0.38670126574944574,-0.012796336698339954
2008-01-03,0,-5,0.06793640114826498,0.3184866242011459,-0.013999930258529827
2008-01-03,1,-5,0.14853577215323796,0.2999859443813847,-0.015299024556805945
2008-01-03,3,-5,0.2999762201651338,0.31837080059021955,-0.016562025926692925
2008-01-03,5,-5,0.1836187626705768,0.29805179719836844,-0.015553830641934361
2008-01-03,-5,0,0.03596934834929475,0.3719006673433809,-0.013730335175846339
2008-01-03,-3,0,0.4847997468152289,0.28242014551646394,-0.012861160371128584
2008-01-03,-1,0,0.20462263928536356,0.38670126574944574,-0.012796336698339954
2008-01-03,0,0,0.06793640114826498,0.3184866242011459,-0.013999930258529827
2008-01-03,1,0,0.14853577215323796,0.2999859443813847,-0.015299024556805945
2008-01-03,3,0,0.2999762201651338,0.31837080059021955,-0.016562025926692925
2008-01-03,5,0,0.1836187626705768,0.29805179719836844,-0.015553830641934361
2008-01-03,-5,5,0.03524682791512258,0.31850834494870023,-0.015463875429515357
2008-01-03,-3,5,0.058915217017138366,0.2995931043384598,-0.015980634609864174
2008-01-03,-1,5,0.14387392176022495,0.35665225376126836,-0.013967069827064974
2008-01-03,0,5,0.06857715749088304,0.32674273200738513,-0.01249805101956439
2008-01-03,1,5,0.1494122282802872,0.3596782860220343,-0.01312302868203383
2008-01-03,3,5,0.11618390871212059,0.3254575361590549,-0.015326068872369826
2008-01-03,5,5,0.09613762863055353,0.33366988550597715,-0.01404961423480832
2008-01-03,-5,10,0.026640294639000306,0.32944025592064996,-0.01424925186824155
2008-01-03,-3,10,0.0406410288001403,0.33381623509607095,-0.013726553339057248
2008-01-03,-1,10,0.09243660391979294,0.34868102103261345,-0.013932551184980655
2008-01-03,0,10,0.06063728187740632,0.317651073340401,-0.014403987688063896
2008-01-03,1,10,0.06280422682432325,0.32051367402739184,-0.014649135143973873
2008-01-03,3,10,0.09012769513724142,0.3521390558137138,-0.01332717384899701
2008-01-03,5,10,0.08688631504113101,0.3385902126010678,-0.013977910463758287
2008-01-03,-5,15,0.024667473772833202,0.3512930883758497,-0.014108411993665136
2008-01-03,-3,15,0.03909054166179616,0.32834344720244457,-0.01532424865133128
2008-01-03,-1,15,0.05903662196764441,0.34435876106484226,-0.012819577561447141
2008-01-03,0,15,0.04198365051808566,0.3339928456824805,-0.014063872976530493
2008-01-03,1,15,0.08520756107101671,0.343695056034547,-0.014283905858513907
2008-01-03,3,15,0.04272869228501821,0.3440053355262431,-0.013151201999015476
2008-01-03,5,15,0.06412864903474748,0.3209991892706689,-0.015529837072675946
2008-02-06,0,0,0.0768962131294286,0.13321055503616175,0.0005068906081376584
2008-02-06,-5,-15,0.03443118280318056,0.20181008453162796,0.01118654226594677
2008-02-06,-3,-15,0.04778676540450771,0.1302099075092656,0.018182040467673917
2008-02-06,-1,-15,0.04380481199929041,0.13373464063405988,0.005223265177077927
2008-02-06,0,-15,0.0768962131294286,0.13321055503616175,0.0005068906081376584
2008-02-06,1,-15,0.045002295541485146,0.13640640062436515,0.004073527204879015
2008-02-06,3,-15,0.18824840658273673,0.11637112066703811,-0.011305298745914127
2008-02-06,5,-15,0.07826750752713707,0.1268407362227882,-0.0008812826067696722
2008-02-06,-5,-10,0.03443118280318056,0.20181008453162796,0.01118654226594677
2008-02-06,-3,-10,0.04778676540450771,0.1302099075092656,0.018182040467673917
2008-02-06,-1,-10,0.04380481199929041,0.13373464063405988,0.005223265177077927
2008-02-06,0,-10,0.0768962131294286,0.13321055503616175,0.0005068906081376584
2008-02-06,1,-10,0.045002295541485146,0.13640640062436515,0.004073527204879015
2008-02-06,3,-10,0.18824840658273673,0.11637112066703811,-0.011305298745914127
2008-02-06,5,-10,0.07826750752713707,0.1268407362227882,-0.0008812826067696722
2008-02-06,-5,-5,0.03443118280318056,0.20181008453162796,0.01118654226594677
2008-02-06,-3,-5,0.04778676540450771,0.1302099075092656,0.018182040467673917
2008-02-06,-1,-5,0.04380481199929041,0.13373464063405988,0.005223265177077927
2008-02-06,0,-5,0.0768962131294286,0.13321055503616175,0.0005068906081376584
2008-02-06,1,-5,0.045002295541485146,0.13640640062436515,0.004073527204879015
2008-02-06,3,-5,0.18824840658273673,0.11637112066703811,-0.011305298745914127
2008-02-06,5,-5,0.07826750752713707,0.1268407362227882,-0.0008812826067696722
2008-02-06,-5,0,0.03443118280318056,0.20181008453162796,0.01118654226594677
2008-02-06,-3,0,0.04778676540450771,0.1302099075092656,0.018182040467673917
2008-02-06,-1,0,0.04380481199929041,0.13373464063405988,0.005223265177077927
2008-02-06,0,0,0.0768962131294286,0.13321055503616175,0.0005068906081376584
2008-02-06,1,0,0.045002295541485146,0.13640640062436515,0.004073527204879015
2008-02-06,3,0,0.18824840658273673,0.11637112066703811,-0.011305298745914127
2008-02-06,5,0,0.07826750752713707,0.1268407362227882,-0.0008812826067696722
2008-02-06,-5,5,0.016186268540477645,0.1951807233387206,0.015604731624111778
2008-02-06,-3,5,0.027940853980626568,0.1484350023013574,0.014873238619043976
2008-02-06,-1,5,0.03111019656707654,0.14062627577501233,0.010774828668812271
2008-02-06,0,5,0.044527632863660446,0.13608966150662533,0.01117934533796151
2008-02-06,1,5,0.05251167867629414,0.13082776233120325,0.005124438009209349
2008-02-06,3,5,0.04218032075370027,0.13020144620799473,0.008732054185681286
2008-02-06,5,5,0.05272832876927397,0.13376768215159024,0.00486462283759227
2008-02-06,-5,10,0.018133789645165693,0.17986555334814042,0.013808762395816873
2008-02-06,-3,10,0.022705339183088452,0.14959209683756625,0.01707764060938216
2008-02-06,-1,10,0.0318097051731443,0.1468126753242812,0.01130962623666219
2008-02-06,0,10,0.04430649465112355,0.13320713726954322,0.014447121358157778
2008-02-06,1,10,0.03899761251393123,0.13725937941009833,0.01117948185244604
2008-02-06,3,10,0.052634873608842635,0.13962706823099696,0.00801169086508321
2008-02-06,5,10,0.039600956006488386,0.13874642730354234,0.011218359737491081
2008-02-06,-5,15,0.016311143512616727,0.16082858562435673,0.012308227479368933
2008-02-06,-3,15,0.0294820908497664,0.15394346465936232,0.016718851068820633
2008-02-06,-1,15,0.032886232704644205,0.14981224299730242,0.015209598845458134
2008-02-06,0,15,0.03756034989580697,0.14028155788981697,0.012819469628231637
2008-02-06,1,15,0.037483906899902344,0.15350798231389046,0.006649275476690995
2008-02-06,3,15,0.040411179278846694,0.137238928763652,0.00961871710059168
2008-02-06,5,15,0.03451424848741457,0.14166509544761025,0.007385628131659745
